mg_feature,n_metabolites,n_relationships,mean_importance,max_importance,mean_abs_corr,max_abs_corr
Micromonospora chokoriensis,1,1,0.0079661109146541,0.0079661109146541,0.543980144392855,0.543980144392855
Pseudomonas alcaliphila,1,1,0.0380251025972342,0.0380251025972342,0.5433652285752938,0.5433652285752938
Rothia mucilaginosa,1,1,0.0064758843695719,0.0064758843695719,0.5428014609968482,0.5428014609968482
Serinicoccus sp. JLT9,1,1,0.0070975482940075,0.0070975482940075,0.5420703092638357,0.5420703092638357
Streptomyces rubrolavendulae,1,1,0.0232246704399585,0.0232246704399585,0.5416863152422746,0.5416863152422746
Kocuria turfanensis,1,1,0.0149357998878384,0.0149357998878384,0.5411489211195502,0.5411489211195502
Mycobacterium liflandii,1,1,0.0057872206234778,0.0057872206234778,0.541074145545409,0.541074145545409
Lacunisphaera limnophila,1,1,0.0085763139650225,0.0085763139650225,0.540053193975145,0.540053193975145
Micromonospora echinospora,1,1,0.0116265076473771,0.0116265076473771,0.5396691543831007,0.5396691543831007
Micromonospora krabiensis,1,1,0.0080424470992396,0.0080424470992396,0.5383166016737597,0.5383166016737597
Xylanimonas cellulosilytica,1,1,0.0154134044423699,0.0154134044423699,0.537786869156896,0.537786869156896
Vibrio coralliilyticus,1,1,0.0143874930217862,0.0143874930217862,0.5375963296360756,0.5375963296360756
Rhodococcus rhodochrous,1,1,0.0066983739811873,0.0066983739811873,0.5364422604039278,0.5364422604039278
Streptomyces sp. CMB-StM0423,1,1,0.022506259381771,0.022506259381771,0.5344609253302961,0.5344609253302961
Leadbetterella byssophila,1,1,0.0066183633899228,0.0066183633899228,0.5333486331165443,0.5333486331165443
Brachybacterium saurashtrense,1,1,0.0214633949521618,0.0214633949521618,0.5326995228022602,0.5326995228022602
Actinomyces sp. oral taxon 414,1,1,0.0076715595380257,0.0076715595380257,0.5297593090462345,0.5297593090462345
Pseudomonas sp. JY-Q,1,1,0.0128027548675406,0.0128027548675406,0.5286629222534756,0.5286629222534756
Gordonia sp. MMS17-SY073,1,1,0.0085469305251275,0.0085469305251275,0.5286612898264371,0.5286612898264371
Frondihabitans sp. PAMC 28766,1,1,0.0399806303662476,0.0399806303662476,0.527917861132784,0.527917861132784
Cellulomonas fimi,1,1,0.0090898083990083,0.0090898083990083,0.5275731737685414,0.5275731737685414
Pseudomonas sp. 7SR1,1,1,0.0247431732714176,0.0247431732714176,0.524958501042587,0.524958501042587
Bifidobacterium breve,1,1,0.0086380259146722,0.0086380259146722,0.5227891737678371,0.5227891737678371
Pseudomonas sp. LH1G9,1,1,0.0448684196293225,0.0448684196293225,0.5216939747395045,0.5216939747395045
Pseudomonas sp. DR 5-09,1,1,0.0209409033249741,0.0209409033249741,0.5213380059016121,0.5213380059016121
Mycobacterium pseudoshottsii,1,1,0.0171453342396605,0.0171453342396605,0.5211121431059453,0.5211121431059453
Arthrobacter sp. Rue61a,1,1,0.0089310705661773,0.0089310705661773,0.5193286590648681,0.5193286590648681
Pseudomonas thivervalensis,1,1,0.0261627098320083,0.0261627098320083,0.5193107839231753,0.5193107839231753
Pseudomonas sp. B10,1,1,0.0266605575645586,0.0266605575645586,0.5180096874063411,0.5180096874063411
Pseudomonas sp. CMR12a,1,1,0.0153008205816149,0.0153008205816149,0.517976416598864,0.517976416598864
Rhodococcus sp. S2-17,1,1,0.0116039970889687,0.0116039970889687,0.5169069325078747,0.5169069325078747
Marivirga tractuosa,1,1,0.0228192918002605,0.0228192918002605,0.5145146625061859,0.5145146625061859
Pseudomonas moraviensis,1,1,0.0195662742591743,0.0195662742591743,0.5132056755735671,0.5132056755735671
Microlunatus phosphovorus,1,1,0.020160524174571,0.020160524174571,0.5129034801567404,0.5129034801567404
Rhodococcus hoagii,1,1,0.0312116257846355,0.0312116257846355,0.5127557961227998,0.5127557961227998
Pseudomonas mendocina,1,1,0.0083710224955625,0.0083710224955625,0.5120624043146962,0.5120624043146962
