feature,mean_abs_shap
Pseudomonas alkylphenolica,0.004469915131399217
Actinoplanes missouriensis,0.004430246564573146
Burkholderia sp. BDU8,0.004354668722937174
Pseudomonas plecoglossicida,0.004350991994224733
Kozakia baliensis,0.004332046361159784
Janibacter indicus,0.004315456229235426
Mycolicibacter sinensis,0.004243446021084876
Cellulomonas gilvus,0.004235936391130168
Brachybacterium sp. VM2412,0.004200267154133333
Acidothermus cellulolyticus,0.00413130000473227
Brachybacterium faecium,0.004123718073716569
Pseudomonas saudiphocaensis,0.004097941919813487
Martelella endophytica,0.0039820453774273385
Aeromicrobium sp. A1-2,0.0039733023954282775
Streptomyces virus Caliburn,0.003968323901128199
Bifidobacterium actinocoloniiforme,0.003967984260963498
Bdellovibrio bacteriovorus,0.0038790408605837642
Pseudomonas savastanoi,0.003866336751549294
Pseudomonas sp. CMR12a,0.0038569349181651422
Cryobacterium sp. LW097,0.003836373342406534
Corynebacterium kroppenstedtii,0.003829988164410064
Salinispora arenicola,0.0037998649823545866
Gryllotalpicola sp. 2DFW10M-5,0.0036935773807306384
Gordonibacter urolithinfaciens,0.00368904943560933
Gordonia polyisoprenivorans,0.0036889332875820295
Burkholderia metallica,0.0036513574400482245
Nakamurella sp. s14-144,0.0035577805890570397
Pseudolabrys taiwanensis,0.0035519295725069443
Woeseia oceani,0.003544607103653064
Singulisphaera acidiphila,0.003476920316913234
Defluviimonas alba,0.003420905880269756
Salinibacterium sp. CGMCC 1.16371,0.00339809850595644
Micromonospora viridifaciens,0.0033676853330332946
Brevirhabdus pacifica,0.003241521044161752
Fuerstia marisgermanicae,0.0032297703242036313
Kocuria palustris,0.003227686483948193
Cellulosimicrobium sp. TH-20,0.003227216727573079
Bradyrhizobium erythrophlei,0.0032126924286759845
Mycobacterium intracellulare,0.0031841069601030387
Magnetospirillum gryphiswaldense,0.0031463170137313342
Opitutaceae bacterium TAV5,0.003083536533561985
Blastochloris viridis,0.003028475584682582
Saccharomonospora cyanea,0.003015681813539091
Chromohalobacter salexigens,0.003006135358383596
Bradyrhizobium sp. ORS 3257,0.00299430897689933
Opitutus terrae,0.002945482379840752
Cryobacterium arcticum,0.0029286411995056755
Corynebacterium sp. ATCC 6931,0.0029176909509586297
Erythrobacter sp. KY5,0.00291252032026041
Candidatus Solibacter usitatus,0.002878672154032535
Cellulosimicrobium cellulans,0.0028475848869339002
Verrucomicrobia bacterium,0.0027949050441339624
Paracoccus zhejiangensis,0.002774325807538393
Corynebacterium urealyticum,0.0027522795953579624
Sanguibacter keddieii,0.0027522058500713356
Roseiflexus castenholzii,0.002751173534262019
