chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__LBC (mg/kg CaCO3/pH dry weight),chem__Ca (Mehlich 1 mg/kg dry weight),denit__Rate (microgN/kilogram dry weight soil/day),chem__K (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),chem__P (Mehlich 1 mg/kg dry weight),psize__Soil Clay Content %,psize__Soil Silt Content %,moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,chem__Mn (Mehlich 1 mg/kg dry weight),chem__NO3-N (mg/kg dry weight),soil_NO3,psize__Soil Sand Content %,chem__NH4-N (mg/kg dry weight),soil_NH4,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),chem__Zn (Mehlich 1 mg/kg dry weight)
3300.2,1138.0,2561.92,105.3583863,314.649,505.921,33.1477,4.982561036,67.26457399,41.92634561,46.49122807,39.27576602,64.4016,27.324,27.324,27.75286497,8.3295,8.3295,7.343264502,10.2429
3091.4,1066.0,2552.6,137.3983097,257.938,434.396,36.505,10.82897685,64.72491909,24.62686567,23.15270936,23.45679012,51.9587,15.0,15.0,24.44610406,8.4845,8.4845,4.553833753,7.2942
4901.0,1690.0,1911.85,138.4195055,316.155,345.542,17.2953,11.82314953,57.12866369,39.16666667,36.04336043,35.13513514,27.2552,13.422,13.422,31.04818679,12.8545,12.8545,3.838363508,4.8509
2740.5,945.0,2257.22,,225.714,395.375,20.9366,5.984603924,64.21653837,36.61202186,34.13978495,35.77235772,38.9692,21.7185,21.7185,29.79885771,15.59,15.59,6.642065823,6.5758
1174.5,405.0,1872.06,22.63650846,262.193,366.281,118.146,67.51117735,21.9076006,3.742203742,3.519668737,3.734439834,17.4063,0.4465,0.4465,10.58122206,3.261,3.261,0.332901676,3.5127
1299.2,448.0,2152.42,2.765034585,449.091,418.21,120.393,57.54857997,21.1758844,7.296137339,7.066381156,6.623931624,17.8597,1.1235,1.1235,21.27553563,2.0665,2.0665,0.870610775,3.3915
1963.3,677.0,2435.54,11.79111902,210.143,502.549,112.004,39.35356526,40.71058475,4.175365345,5.473684211,4.158004158,29.6194,1.111,1.111,19.93584999,3.6545,3.6545,0.95766875,4.0575
2943.5,1015.0,2481.96,181.5029421,319.684,524.971,34.5595,7.95287187,63.81934217,14.94252874,12.92517007,16.27906977,50.9719,20.4215,20.4215,28.22778596,8.5,8.5,3.24562547,9.8175
4045.5,1395.0,1660.1,17.88765329,161.602,307.229,20.5744,5.23715415,63.88339921,14.64530892,16.74418605,13.95881007,23.6988,9.4465,9.4465,30.87944664,11.8795,11.8795,1.58175083,3.1
1302.1,449.0,1945.98,4.040169133,304.965,351.875,114.613,51.99803873,32.65506252,9.649122807,9.429824561,9.89010989,17.688,1.698,1.698,15.34689875,1.8015,1.8015,1.080508902,2.6576
4541.4,1566.0,1510.0,725.6165982,217.438,235.425,22.0106,25.2294716,50.85586703,48.95522388,35.40540541,33.33333333,21.7039,25.9235,25.9235,23.91466137,25.639,25.639,11.28655462,6.1502
2001.0,690.0,2431.98,30.54910649,138.724,509.653,77.2296,42.10655536,39.28308372,10.81677704,10.37527594,10.59602649,32.3007,0.4225,0.4225,18.61036091,4.4525,4.4525,1.367414176,2.8379
4086.1,1409.0,1320.04,,146.363,195.602,15.6876,21.56374502,49.80079681,34.23180593,30.89005236,26.76767677,16.6842,12.746,12.746,28.63545817,20.6825,20.6825,3.966672575,2.7223
2630.3,907.0,2846.2,23.69814883,293.535,584.535,51.0021,3.568754679,68.62989768,13.15192744,14.18764302,15.17241379,47.9096,24.361,24.361,27.80134764,7.2585,7.2585,5.329051052,12.4877
1809.6,624.0,2484.13,35.01648799,200.324,457.321,108.302,49.51407924,36.58111139,31.66226913,32.89124668,32.71276596,30.0327,2.111,2.111,13.90480937,3.524,3.524,0.909585837,3.9728
3462.6,1194.0,2431.98,271.2986724,203.463,453.022,28.5338,6.554121152,64.54816286,17.05607477,21.95121951,26.19647355,47.7638,10.5655,10.5655,28.89771599,8.988,8.988,3.740373809,8.435
