mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Mycobacterium haemophilum,2,0.009414514689900486,0.01345041673630476,0.5389053907684013
Pseudomonas silesiensis,2,0.009098634151009836,0.013168221339583397,0.5005765141979677
Kosakonia radicincitans,2,0.01117834910766434,0.013160186745547283,0.3945496080220007
Pseudomonas lini,2,0.009341591817286242,0.013040632009506226,0.44280822969169076
Rhizobium gallicum,2,0.008476483095538306,0.012621801353009587,0.39645291394543347
Xanthomonas axonopodis,2,0.011935357935726643,0.012382224202156067,0.29822765185954137
Rhodococcus coprophilus,2,0.007720878300479388,0.012114993725016,0.5383945090390485
Hymenobacter sedentarius,2,0.011855927295982838,0.011968166567385197,0.4832005449259791
Mycobacterium sp. YC-RL4,2,0.011075224117593676,0.011847433634102345,0.1991005509095189
Dickeya solani,2,0.00712574141810507,0.011725783585162854,0.10675535299546515
Gramella salexigens,2,0.008943269782261797,0.01132749133969146,0.05958925225772824
Caulobacter flavus,2,0.009608816355466843,0.010935792699456215,0.37383523793796847
Dermacoccus nishinomiyaensis,2,0.008811389421196185,0.010573241859674454,0.5269741384178108
Maribacter sp. T28,2,0.008435070774385614,0.010183822788518903,0.3118697269928471
Wolbachia endosymbiont of Drosophila melanogaster,2,0.006988899715086873,0.009889838560262838,0.45887278020579453
Neorhizobium sp. NCHU2750,2,0.009001229889690876,0.009783408604562283,0.09495974172834251
Kytococcus sedentarius,2,0.008609239625330816,0.009769295552916075,0.46596522502082827
Actinoplanes derwentensis,2,0.007567432516388993,0.009670746512711048,0.37926670371478544
Sphingobium japonicum,2,0.007244247153232127,0.00955404806882143,0.23517047046197787
Mucilaginibacter sp. PAMC 26640,2,0.007298133422100013,0.00954893883317709,0.019555768707144244
Pseudomonas sp. TMW 2.1634,2,0.008131106549256565,0.009509854018688202,0.36132858155896813
Pseudomonas frederiksbergensis,2,0.007146841043267883,0.009367323480546474,0.317848128050485
Kitasatospora albolonga,2,0.007916379981381567,0.009330750965859237,0.5832111109675717
Advenella kashmirensis,2,0.008136846226957855,0.009284138960158957,0.4563434689475754
Microbacterium foliorum,2,0.007058419378024405,0.009112493135035038,0.46363068076413705
Rhizobium sp. NXC24,2,0.007329255363856153,0.00905872802311792,0.24370316749113088
Pseudoalteromonas rubra,2,0.005992192158441405,0.008916173130273819,0.3945585241523888
Acidiferrobacter sp. SPIII_3,2,0.008389048743993044,0.008806763216853142,0.4493004752161496
Frankia alni,2,0.005728355412218657,0.008661505317819986,0.5009032605639797
Amycolatopsis sp. AA4,2,0.007357442875293667,0.008653333368700642,0.42521877248025075
Bacillus licheniformis,2,0.0069627642666468155,0.00860462337732315,0.09632377586680838
Glutamicibacter arilaitensis,2,0.007967250994147754,0.008355603268467852,0.4972715940376353
Rhodococcus sp. 008,2,0.005937420847692202,0.008317802939758274,0.49674974375948716
Bifidobacterium angulatum,2,0.007921181306181285,0.008155979397828724,0.5053372421229205
Bordetella sp. H567,2,0.006050235271144334,0.007904262524754482,0.38873000984603623
Microbacterium hominis,2,0.006468367017628882,0.007780125830322504,0.37667453731980605
Komagataeibacter xylinus,2,0.0077096575129745725,0.007777175630028075,0.5237731689642091
Streptomyces spongiicola,2,0.006075392743808269,0.007472039413012185,0.28286667926162024
Methylophaga nitratireducenticrescens,2,0.005286389941971158,0.007199851529153839,0.5337024043069787
Micromonospora echinofusca,2,0.005457305542355462,0.00713611162633466,0.6241827737092918
Frankia sp. QA3,2,0.006322494864913087,0.006656463783944891,0.4265999269032383
Streptomyces lydicus,2,0.005882100122372416,0.006651012544519179,0.29704753139886186
Rhodococcus sp. MTM3W5.2,2,0.0060854153045928885,0.006642664184702716,0.31943247623789933
Leadbetterella byssophila,2,0.00517005884034897,0.00661836338992285,0.5185085564703519
Streptomyces katrae,2,0.006308710473102521,0.006549864539172526,0.5124508796176364
Actinoplanes teichomyceticus,2,0.006424763301499534,0.006439891602458718,0.4040953364811853
Bacillus clausii,2,0.006198387510669241,0.006211976520717144,0.5041584731425199
Erwinia billingiae,2,0.006110842035792863,0.006153277932972921,0.2659476112583349
Halothiobacillus neapolitanus,2,0.005693097603037275,0.0060360839492668164,0.4740038392141884
Rhizobium phaseoli,2,0.005135199715408106,0.005582337535108978,0.16026167602705454
Gordonia iterans,2,0.004429889018706667,0.0055365830367844066,0.5124001865831731
Actinoplanes sp. N902-109,2,0.004461171666574929,0.005399974516856542,0.3763892773218809
Neisseria sp. 10023,2,0.00399385729467633,0.004875145573667467,0.422204464539506
Sediminispirochaeta smaragdinae,2,0.0044475201725886395,0.004870676434356356,0.5319094139907405
Pelodictyon phaeoclathratiforme,2,0.003563889348690258,0.004564465304975811,0.5786393396010652
Auraticoccus monumenti,2,0.003947948385406065,0.00447419309254356,0.5032575996498472
Neisseria elongata,2,0.00374962731649442,0.004409045207553949,0.3746861678492931
Dietzia sp. oral taxon 368,2,0.004245337859902461,0.004335647785247792,0.5088900416249804
