mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Leadbetterella byssophila,6,0.003921472184588792,0.005148397308705236,0.5448887169212017
Streptomyces sp. 2323.1,6,0.003844303868191538,0.004665562874023481,0.5268072137621904
Actinomadura amylolytica,6,0.0035715673711306396,0.00396316768283066,0.5775210409685378
Corynebacterium vitaeruminis,6,0.0032364996953069803,0.003873608043678709,0.502104541529255
Rhodococcus sp. PBTS 2,6,0.002971050814145049,0.0036274661655646386,0.4794305251509587
Methylophaga nitratireducenticrescens,5,0.006378320166487403,0.008899985801216074,0.5686754110345931
Arcanobacterium haemolyticum,5,0.0048967288115781115,0.006629134185129966,0.5334037267999279
Beggiatoa leptomitoformis,5,0.004441488521407487,0.006360550859857616,0.5433400179652798
Neisseria subflava,5,0.004490554047876539,0.006287733085169302,0.5825509663065767
Psychrobacter sp. AntiMn-1,5,0.00408279551491348,0.0052036918739627345,0.5770410984144757
Rhodoluna lacicola,5,0.003846070769112993,0.00480819367144047,0.5432290799592236
Methanoculleus marisnigri,5,0.0032303746020037544,0.004356946611015759,0.4478264721461013
Corynebacterium camporealensis,5,0.003318099576357771,0.0038095405621692007,0.5152614895729231
Polynucleobacter asymbioticus,4,0.008181756768387373,0.009753629271029029,0.5859161036133685
Spongiibacter sp. IMCC21906,4,0.005399151158917385,0.007514094557157711,0.48594918071242715
Candidatus Rhodoluna planktonica,4,0.005202926689061165,0.0072688618902835775,0.5466830742952661
Halodesulfurarchaeum formicicum,4,0.004401050103902954,0.005922592314844727,0.49253387236046187
Polynucleobacter difficilis,4,0.004284937209335756,0.0059186303084291835,0.41867557987398785
Komagataeibacter nataicola,4,0.004170760192738711,0.005210235088309659,0.5113339878951112
Corynebacterium choanis,4,0.004716251670341634,0.005045927364188627,0.4756550774091596
Shewanella sediminis,4,0.0038237298245183135,0.004614766338106743,0.559012338901249
Thioploca ingrica,4,0.0037935921812914993,0.004582725725132047,0.5308614238082238
Actinoalloteichus hymeniacidonis,4,0.003174671519251246,0.004214625765648263,0.5236778145632568
Komagataeibacter xylinus,4,0.004024882851020667,0.004206388272717212,0.5078057467282714
Fluviicola taffensis,4,0.003941396879232222,0.004146066948300751,0.5637512803601601
Lawsonella clevelandensis,4,0.003294106005015141,0.004137668242234756,0.5084959090221123
Desulfocapsa sulfexigens,4,0.0038095500781814597,0.004110443779269639,0.5387886360611922
Corynebacterium riegelii,4,0.0032066522930894663,0.003897567604142893,0.5057004359429657
Arthrobacter sp. YC-RL1,4,0.0028014831778708613,0.0035369008377960334,0.4711689712256345
Streptomyces sp. CNQ-509,4,0.0026560126950946465,0.0032048174464063502,0.48840780284424795
Calothrix sp. NIES-3974,3,0.005271776172145986,0.009229993757437358,0.14410268935393492
Xanthomonas axonopodis,3,0.005191219345820016,0.00854720899538212,0.4007502917170726
Catenulispora acidiphila,3,0.005790126519469903,0.007113183702892512,0.5946281387249673
Mycobacterium liflandii,3,0.005762743727050091,0.006833787107022387,0.5564118951448959
Calothrix brevissima,3,0.00570088529408477,0.006731093102891864,0.4691676237355187
Treponema brennaborense,3,0.004335312840427189,0.0062875001759412595,0.49150323856280576
Methylotenera versatilis,3,0.004641972598584925,0.005704755779050246,0.5526289216735898
Advenella kashmirensis,3,0.003949782590942147,0.004976996737303236,0.4694028890740376
Vibrio alginolyticus,3,0.004036793426439821,0.004560791304800031,0.5597543645327795
Pseudonocardia sp. EC080610-09,3,0.0042985346821279476,0.004492056783086346,0.03779110974331853
Proteiniphilum saccharofermentans,3,0.003593952597659928,0.004343850925476093,0.5083352710789729
Lachnoclostridium sp. YL32,3,0.0033409422032232975,0.004337859818336987,0.5261848173769907
Mycobacterium pseudoshottsii,3,0.004104470875753374,0.004316937319451887,0.5751466317916342
Corynebacterium efficiens,3,0.0034817145357646565,0.004214789478674352,0.5405389477309894
Verrucomicrobia bacterium IMCC26134,3,0.003415090234760795,0.0039191711312818334,0.46069066190242935
Leptolyngbya boryana,3,0.003490832971391012,0.003902643496391132,0.5377248338889974
Hymenobacter sp. DG25B,3,0.003347271677469403,0.003828722016117631,0.4855403066557975
Pseudodesulfovibrio piezophilus,3,0.003438402904921893,0.003771903598128105,0.534536393663351
Acidaminococcus intestini,3,0.0033868718668903773,0.0036575589703062854,0.5495224347263875
Bacillus clausii,3,0.002996352955622066,0.0033899977889464607,0.5073740318204448
Saccharomonospora glauca,3,0.0030445251729443977,0.003336432028446782,0.5205439577693892
