host_id,nmdc_biosample_id,metagenome_accession,metabolomics_id,soil_pH,soil_NH4,soil_NO3,soil_total_C,soil_total_N,keep_for_analysis,notes,gold_project_id,metabolomics_present,metabolomics_run_count,cohort_status,soil_match,metagenomics_match,biosample_id_norm
BESC-360-Co2_62_25,nmdc:bsm-11-4yy9a239,SRX21791448,nmdc:dgms-12-fbjgc419;nmdc:dgms-12-7v3h2z75;nmdc:dgms-12-wx5h3t95;nmdc:dgms-12-hrydbw82,6.72,8.3015,1.403,2.344,0.433,yes,from_supp_table1,Gp0566796,yes,4,ready,yes,yes,nmdc_bsm-11-4yy9a239
BESC-847-Co1_12_9,nmdc:bsm-11-qyx7qs76,SRX21791449,nmdc:dgms-12-89n1sy18;nmdc:dgms-12-4a9trx33;nmdc:dgms-12-2zvyy933;nmdc:dgms-12-j8qygy56,6.54,2.7645,4.8475,1.765,0.3,yes,from_supp_table1,Gp0566824,yes,4,ready,yes,yes,nmdc_bsm-11-qyx7qs76
BESC-866-CL3_75_7,nmdc:bsm-11-7n6p8d80,SRX21791450,nmdc:dgms-12-mmt1c336;nmdc:dgms-12-6xc03q97;nmdc:dgms-12-knxfj346;nmdc:dgms-12-d1y25s26,5.16,11.0295,13.514,6.669,0.491,yes,from_supp_table1,Gp0566829,yes,4,ready,yes,yes,nmdc_bsm-11-7n6p8d80
BESC-351-Co3_11_46,nmdc:bsm-11-z1r5gy96,SRX21791451,nmdc:dgms-12-333syq15;nmdc:dgms-12-4nepg056;nmdc:dgms-12-8984sv03;nmdc:dgms-12-rwzsqj47,6.48,4.4525,0.4225,2.239,0.151,yes,from_supp_table1,Gp0566793,yes,4,ready,yes,yes,nmdc_bsm-11-z1r5gy96
GW-4579-CL2_50_20,nmdc:bsm-11-6y2dt532,SRX21791452,nmdc:dgms-12-20rn3432;nmdc:dgms-12-atck6f34;nmdc:dgms-12-b1hs1y29;nmdc:dgms-12-tgb21528,5.11,13.491,23.581,7.647,0.578,yes,from_supp_table1,Gp0566843,yes,4,ready,yes,yes,nmdc_bsm-11-6y2dt532
BESC-351-Co2_42_17,nmdc:bsm-11-hhb2g180,SRX21791453,nmdc:dgms-12-qwjjnx50;nmdc:dgms-12-0tzkn963;nmdc:dgms-12-j9x4wa87;nmdc:dgms-12-wzrmc686,6.81,2.329,2.804,1.801,0.326,yes,from_supp_table1,Gp0566792,yes,4,ready,yes,yes,nmdc_bsm-11-hhb2g180
BESC-388-CL1_25_34,nmdc:bsm-11-9gmcv191,SRX21791454,nmdc:dgms-12-6dgwpv49;nmdc:dgms-12-yn0jb390;nmdc:dgms-12-1btfba25;nmdc:dgms-12-p6v9mn79,5.86,9.1955,20.428,3.578,0.296,yes,from_supp_table1,Gp0566798,yes,4,ready,yes,yes,nmdc_bsm-11-9gmcv191
BESC-833-CL3_77_6,nmdc:bsm-11-at9sda86,SRX21791455,nmdc:dgms-12-rxj6w330;nmdc:dgms-12-8vhq1151;nmdc:dgms-12-bwa7h635;nmdc:dgms-12-76h2ws94,5.16,12.048,20.1785,6.268,0.446,yes,from_supp_table1,Gp0566811,yes,4,ready,yes,yes,nmdc_bsm-11-at9sda86
BESC-904-CL3_91_3,nmdc:bsm-11-xgrda154,SRX21791456,nmdc:dgms-12-mrccwb37;nmdc:dgms-12-hcbhmy82;nmdc:dgms-12-gygyt534;nmdc:dgms-12-rzkdfz78,5.68,8.5,20.4215,4.1,0.303,yes,from_supp_table1,Gp0566834,yes,4,ready,yes,yes,nmdc_bsm-11-xgrda154
BESC-360-Co1_23_6,nmdc:bsm-11-k7v09098,SRX21791457,nmdc:dgms-12-f5trx844;nmdc:dgms-12-y3wnk778;nmdc:dgms-12-yhp0as28;nmdc:dgms-12-2t6e1v43,6.61,3.783,3.086,1.391,0.224,yes,from_supp_table1,Gp0566839,yes,4,ready,yes,yes,nmdc_bsm-11-k7v09098
BESC-351-CL2_54_28,nmdc:bsm-11-s110fy15,SRX21791458,nmdc:dgms-12-8v6hrp98;nmdc:dgms-12-ydtnsf63;nmdc:dgms-12-ktkxmx79;nmdc:dgms-12-a12m3b82,5.14,9.5715,12.874,6.1,0.47,yes,from_supp_table1,Gp0566789,yes,4,ready,yes,yes,nmdc_bsm-11-s110fy15
GW-4579-Co3_14_51,nmdc:bsm-11-011z7z70,SRX21791459,nmdc:dgms-12-5gypda13;nmdc:dgms-12-vcw8ma56;nmdc:dgms-12-qa51dx90;nmdc:dgms-12-efm4kq03,6.62,5.5805,4.5255,2.53,0.173,yes,from_supp_table1,Gp0566846,yes,4,ready,yes,yes,nmdc_bsm-11-011z7z70
